PO_Number,PO_Date,By_Day,By_Month,By_Year,Vendor,Buyer_Department,Purchase_Description,PO_Amount  ,PO_Range
PO-200721,15/3/2024,15,Mar,2024,Vendor_14,Entertainment,Team engagement event,"2,988.74",2k-5k
PO-200970,16/3/2024,16,Mar,2024,Vendor_12,Entertainment,Corporate hospitality,"10,843.77",6k-20k
PO-200189,18/3/2024,18,Mar,2024,Vendor_14,Entertainment,Corporate hospitality,"8,182.55",6k-20k
PO-200521,20/3/2024,20,Mar,2024,Vendor_2,Entertainment,Corporate hospitality,"76,167.33",51k-100k
PO-200273,22/3/2024,22,Mar,2024,Vendor_2,Travel,Corporate travel package,"162,868.09",>101k
PO-200353,22/3/2024,22,Mar,2024,Vendor_2,Travel,Flight bookings,"178,961.32",>101k
PO-200935,23/3/2024,23,Mar,2024,Vendor_8,Travel,Flight bookings,"7,419.90",6k-20k
PO-200255,24/3/2024,24,Mar,2024,Vendor_2,Entertainment,Client entertainment event,"142,427.79",>101k
PO-200371,24/3/2024,24,Mar,2024,Vendor_10,Travel,Business travel expenses,"6,197.27",6k-20k
PO-200497,24/3/2024,24,Mar,2024,Vendor_7,Travel,Flight bookings,"8,715.58",6k-20k
PO-200622,26/3/2024,26,Mar,2024,Vendor_12,Entertainment,Team engagement event,"8,509.73",6k-20k
PO-200264,27/3/2024,27,Mar,2024,Vendor_3,Travel,Hotel accommodation,"38,696.03",21k-50k
PO-200673,29/3/2024,29,Mar,2024,Vendor_3,Entertainment,Client entertainment event,"36,094.56",21k-50k
PO-200391,30/3/2024,30,Mar,2024,Vendor_1,Travel,Business travel expenses,"81,234.52",51k-100k
PO-200514,1/4/2024,1,Apr,2024,Vendor_1,Travel,Corporate travel package,"79,525.61",51k-100k
PO-200955,1/4/2024,1,Apr,2024,Vendor_7,Travel,Business travel expenses,"11,362.81",6k-20k
PO-200180,2/4/2024,2,Apr,2024,Vendor_5,Marketing,Market research services,"36,328.27",21k-50k
PO-200983,2/4/2024,2,Apr,2024,Vendor_5,Marketing,Brand promotion services,"40,893.42",21k-50k
PO-200236,4/4/2024,4,Apr,2024,Vendor_5,Marketing,Digital advertising campaign,"47,401.64",21k-50k
PO-200030,5/4/2024,5,Apr,2024,Vendor_1,Marketing,Digital advertising campaign,"110,296.96",>101k
PO-200621,7/4/2024,7,Apr,2024,Vendor_14,Entertainment,Conference entertainment services,"4,160.90",2k-5k
PO-200025,8/4/2024,8,Apr,2024,Vendor_1,Marketing,Brand promotion services,"112,029.33",>101k
PO-200072,8/4/2024,8,Apr,2024,Vendor_6,Marketing,Brand promotion services,"11,148.64",6k-20k
PO-200159,8/4/2024,8,Apr,2024,Vendor_7,Travel,Flight bookings,"6,686.93",6k-20k
PO-200334,8/4/2024,8,Apr,2024,Vendor_1,Marketing,Social media marketing,"201,405.74",>101k
PO-200103,9/4/2024,9,Apr,2024,Vendor_5,Marketing,Brand promotion services,"57,711.56",51k-100k
PO-200805,9/4/2024,9,Apr,2024,Vendor_10,Travel,Hotel accommodation,"7,520.69",6k-20k
PO-200807,9/4/2024,9,Apr,2024,Vendor_6,Marketing,Market research services,"8,477.13",6k-20k
PO-200451,11/4/2024,11,Apr,2024,Vendor_8,Travel,Corporate travel package,"5,732.52",6k-20k
PO-200643,11/4/2024,11,Apr,2024,Vendor_10,Travel,Hotel accommodation,"3,659.55",2k-5k
PO-200893,11/4/2024,11,Apr,2024,Vendor_3,Travel,Business travel expenses,"49,155.24",21k-50k
PO-200079,13/4/2024,13,Apr,2024,Vendor_7,Travel,Hotel accommodation,"5,225.51",6k-20k
PO-200571,13/4/2024,13,Apr,2024,Vendor_10,Travel,Business travel expenses,"11,918.10",6k-20k
PO-200895,13/4/2024,13,Apr,2024,Vendor_15,Entertainment,Team engagement event,"10,275.06",6k-20k
PO-200392,15/4/2024,15,Apr,2024,Vendor_9,Travel,Hotel accommodation,"10,214.41",6k-20k
PO-200475,17/4/2024,17,Apr,2024,Vendor_8,Travel,Business travel expenses,"4,352.36",2k-5k
PO-200702,18/4/2024,18,Apr,2024,Vendor_10,Travel,Corporate travel package,"11,076.11",6k-20k
PO-200870,18/4/2024,18,Apr,2024,Vendor_7,Travel,Hotel accommodation,"10,396.60",6k-20k
PO-200873,18/4/2024,18,Apr,2024,Vendor_6,Marketing,Social media marketing,"7,445.06",6k-20k
PO-200900,18/4/2024,18,Apr,2024,Vendor_9,Travel,Corporate travel package,"8,710.55",6k-20k
PO-200177,20/4/2024,20,Apr,2024,Vendor_8,Travel,Corporate travel package,"5,415.63",6k-20k
PO-200197,20/4/2024,20,Apr,2024,Vendor_9,Travel,Hotel accommodation,"2,869.20",2k-5k
PO-200743,20/4/2024,20,Apr,2024,Vendor_2,Travel,Corporate travel package,"219,954.21",>101k
PO-200942,20/4/2024,20,Apr,2024,Vendor_2,Travel,Flight bookings,"190,939.13",>101k
PO-200874,21/4/2024,21,Apr,2024,Vendor_8,Travel,Flight bookings,"4,956.95",2k-5k
PO-200043,22/4/2024,22,Apr,2024,Vendor_3,Travel,Corporate travel package,"16,659.91",6k-20k
PO-200210,22/4/2024,22,Apr,2024,Vendor_9,Travel,Corporate travel package,"7,076.10",6k-20k
PO-200355,22/4/2024,22,Apr,2024,Vendor_1,Travel,Flight bookings,"158,708.31",>101k
PO-200911,22/4/2024,22,Apr,2024,Vendor_1,Travel,Corporate travel package,"68,293.73",51k-100k
PO-200113,24/4/2024,24,Apr,2024,Vendor_12,Entertainment,Corporate hospitality,"5,406.25",6k-20k
PO-200345,24/4/2024,24,Apr,2024,Vendor_1,Marketing,Market research services,"142,572.64",>101k
PO-200074,25/4/2024,25,Apr,2024,Vendor_7,Travel,Business travel expenses,"11,636.20",6k-20k
PO-200141,26/4/2024,26,Apr,2024,Vendor_5,Marketing,Market research services,"27,857.04",21k-50k
PO-200587,26/4/2024,26,Apr,2024,Vendor_9,Travel,Corporate travel package,"9,848.97",6k-20k
PO-200209,27/4/2024,27,Apr,2024,Vendor_3,Entertainment,Client entertainment event,"23,416.97",21k-50k
PO-200722,27/4/2024,27,Apr,2024,Vendor_8,Travel,Hotel accommodation,"5,700.52",6k-20k
PO-200269,29/4/2024,29,Apr,2024,Vendor_1,Travel,Corporate travel package,"175,562.71",>101k
PO-200337,29/4/2024,29,Apr,2024,Vendor_13,Entertainment,Team engagement event,"4,244.41",2k-5k
PO-200537,29/4/2024,29,Apr,2024,Vendor_13,Entertainment,Client entertainment event,"3,021.50",2k-5k
PO-200185,30/4/2024,30,Apr,2024,Vendor_4,Marketing,Brand promotion services,"50,973.47",51k-100k
PO-200959,30/4/2024,30,Apr,2024,Vendor_3,Travel,Hotel accommodation,"15,517.16",6k-20k
PO-200400,1/5/2024,1,May,2024,Vendor_3,Travel,Flight bookings,"54,230.26",51k-100k
PO-200559,1/5/2024,1,May,2024,Vendor_2,Entertainment,Client entertainment event,"163,329.73",>101k
PO-200774,2/5/2024,2,May,2024,Vendor_9,Travel,Flight bookings,"11,551.15",6k-20k
PO-200458,3/5/2024,3,May,2024,Vendor_2,Travel,Corporate travel package,"163,595.95",>101k
PO-200734,3/5/2024,3,May,2024,Vendor_2,Entertainment,Client entertainment event,"119,263.52",>101k
PO-200850,4/5/2024,4,May,2024,Vendor_1,Travel,Business travel expenses,"177,139.62",>101k
PO-200176,5/5/2024,5,May,2024,Vendor_15,Entertainment,Client entertainment event,"5,474.13",6k-20k
PO-200431,5/5/2024,5,May,2024,Vendor_15,Entertainment,Conference entertainment services,"8,859.68",6k-20k
PO-200242,6/5/2024,6,May,2024,Vendor_14,Entertainment,Client entertainment event,"11,224.99",6k-20k
PO-200279,7/5/2024,7,May,2024,Vendor_7,Travel,Business travel expenses,"10,945.52",6k-20k
PO-200570,8/5/2024,8,May,2024,Vendor_2,Entertainment,Corporate hospitality,"61,493.06",51k-100k
PO-200516,9/5/2024,9,May,2024,Vendor_8,Travel,Flight bookings,"2,176.88",2k-5k
PO-200422,12/5/2024,12,May,2024,Vendor_4,Marketing,Brand promotion services,"21,559.05",21k-50k
PO-200928,13/5/2024,13,May,2024,Vendor_7,Travel,Flight bookings,"2,151.11",2k-5k
PO-200968,16/5/2024,16,May,2024,Vendor_14,Entertainment,Client entertainment event,"5,186.09",6k-20k
PO-200980,16/5/2024,16,May,2024,Vendor_15,Entertainment,Conference entertainment services,"11,862.47",6k-20k
PO-200956,18/5/2024,18,May,2024,Vendor_5,Marketing,Social media marketing,"28,157.24",21k-50k
PO-200994,18/5/2024,18,May,2024,Vendor_12,Entertainment,Client entertainment event,"6,843.44",6k-20k
PO-200912,19/5/2024,19,May,2024,Vendor_1,Marketing,Social media marketing,"90,628.43",51k-100k
PO-200664,21/5/2024,21,May,2024,Vendor_2,Entertainment,Conference entertainment services,"120,720.46",>101k
PO-200145,22/5/2024,22,May,2024,Vendor_1,Marketing,Digital advertising campaign,"94,689.46",51k-100k
PO-200830,22/5/2024,22,May,2024,Vendor_7,Travel,Corporate travel package,"7,444.82",6k-20k
PO-200049,23/5/2024,23,May,2024,Vendor_8,Travel,Business travel expenses,"10,164.32",6k-20k
PO-300049,23/5/2024,23,May,2024,Vendor_8,Marketing,Team engagement event,"120,008.99",>101k
PO-200462,23/5/2024,23,May,2024,Vendor_3,Travel,Corporate travel package,"39,262.26",21k-50k
PO-200195,24/5/2024,24,May,2024,Vendor_2,Entertainment,Corporate hospitality,"79,161.94",51k-100k
PO-200417,24/5/2024,24,May,2024,Vendor_8,Travel,Corporate travel package,"7,929.51",6k-20k
PO-200589,25/5/2024,25,May,2024,Vendor_2,Travel,Flight bookings,"129,443.10",>101k
PO-200272,26/5/2024,26,May,2024,Vendor_8,Travel,Flight bookings,"4,078.86",2k-5k
PO-200520,28/5/2024,28,May,2024,Vendor_15,Entertainment,Team engagement event,"3,706.65",2k-5k
PO-200408,31/5/2024,31,May,2024,Vendor_10,Travel,Hotel accommodation,"11,876.50",6k-20k
PO-200285,1/6/2024,1,Jun,2024,Vendor_6,Marketing,Brand promotion services,"7,541.78",6k-20k
PO-200704,1/6/2024,1,Jun,2024,Vendor_14,Entertainment,Corporate hospitality,"9,213.93",6k-20k
PO-200965,1/6/2024,1,Jun,2024,Vendor_10,Travel,Hotel accommodation,"10,285.56",6k-20k
PO-200789,2/6/2024,2,Jun,2024,Vendor_5,Marketing,Digital advertising campaign,"15,006.06",6k-20k
PO-200849,2/6/2024,2,Jun,2024,Vendor_8,Travel,Business travel expenses,"4,139.57",2k-5k
PO-200871,2/6/2024,2,Jun,2024,Vendor_4,Marketing,Social media marketing,"55,669.09",51k-100k
PO-200731,3/6/2024,3,Jun,2024,Vendor_7,Travel,Flight bookings,"5,842.07",6k-20k
PO-200651,4/6/2024,4,Jun,2024,Vendor_4,Marketing,Brand promotion services,"25,995.30",21k-50k
PO-200233,7/6/2024,7,Jun,2024,Vendor_10,Travel,Hotel accommodation,"10,212.57",6k-20k
PO-200406,7/6/2024,7,Jun,2024,Vendor_3,Entertainment,Client entertainment event,"54,072.26",51k-100k
PO-200465,7/6/2024,7,Jun,2024,Vendor_9,Travel,Hotel accommodation,"9,997.81",6k-20k
PO-200032,8/6/2024,8,Jun,2024,Vendor_7,Travel,Flight bookings,"4,287.98",2k-5k
PO-200477,8/6/2024,8,Jun,2024,Vendor_1,Marketing,Social media marketing,"157,135.05",>101k
PO-200429,9/6/2024,9,Jun,2024,Vendor_2,Entertainment,Client entertainment event,"209,420.00",>101k
PO-200373,10/6/2024,10,Jun,2024,Vendor_5,Marketing,Market research services,"47,599.02",21k-50k
PO-200584,10/6/2024,10,Jun,2024,Vendor_9,Travel,Corporate travel package,"8,034.88",6k-20k
PO-200418,11/6/2024,11,Jun,2024,Vendor_5,Marketing,Digital advertising campaign,"32,957.07",21k-50k
PO-200604,11/6/2024,11,Jun,2024,Vendor_1,Travel,Hotel accommodation,"101,872.91",>101k
PO-200877,12/6/2024,12,Jun,2024,Vendor_1,Marketing,Market research services,"67,622.60",51k-100k
PO-200270,13/6/2024,13,Jun,2024,Vendor_11,Entertainment,Conference entertainment services,"5,971.84",6k-20k
PO-200612,13/6/2024,13,Jun,2024,Vendor_5,Marketing,Market research services,"43,099.15",21k-50k
PO-200806,14/6/2024,14,Jun,2024,Vendor_12,Entertainment,Conference entertainment services,"5,711.62",6k-20k
PO-200009,15/6/2024,15,Jun,2024,Vendor_1,Marketing,Social media marketing,"87,283.86",51k-100k
PO-200473,15/6/2024,15,Jun,2024,Vendor_3,Entertainment,Team engagement event,"53,302.84",51k-100k
PO-200287,16/6/2024,16,Jun,2024,Vendor_2,Marketing,Social media marketing,"199,822.41",>101k
PO-200904,16/6/2024,16,Jun,2024,Vendor_1,Travel,Business travel expenses,"140,174.06",>101k
PO-200340,18/6/2024,18,Jun,2024,Vendor_13,Entertainment,Client entertainment event,"10,521.94",6k-20k
PO-200489,20/6/2024,20,Jun,2024,Vendor_4,Marketing,Brand promotion services,"17,355.25",6k-20k
PO-200558,20/6/2024,20,Jun,2024,Vendor_14,Entertainment,Corporate hospitality,"11,283.18",6k-20k
PO-200720,20/6/2024,20,Jun,2024,Vendor_3,Entertainment,Team engagement event,"35,255.55",21k-50k
PO-200142,21/6/2024,21,Jun,2024,Vendor_15,Entertainment,Conference entertainment services,"11,779.01",6k-20k
PO-200531,21/6/2024,21,Jun,2024,Vendor_8,Travel,Flight bookings,"10,015.37",6k-20k
PO-200541,21/6/2024,21,Jun,2024,Vendor_13,Entertainment,Conference entertainment services,"4,269.65",2k-5k
PO-200859,21/6/2024,21,Jun,2024,Vendor_3,Travel,Business travel expenses,"55,258.93",51k-100k
PO-200437,23/6/2024,23,Jun,2024,Vendor_5,Marketing,Digital advertising campaign,"58,350.61",51k-100k
PO-200157,25/6/2024,25,Jun,2024,Vendor_10,Travel,Hotel accommodation,"11,872.76",6k-20k
PO-200615,26/6/2024,26,Jun,2024,Vendor_15,Entertainment,Client entertainment event,"3,140.96",2k-5k
PO-200631,26/6/2024,26,Jun,2024,Vendor_1,Travel,Business travel expenses,"191,536.51",>101k
PO-200252,27/6/2024,27,Jun,2024,Vendor_8,Travel,Business travel expenses,"6,524.40",6k-20k
PO-200910,27/6/2024,27,Jun,2024,Vendor_7,Travel,Corporate travel package,"11,819.06",6k-20k
PO-200501,28/6/2024,28,Jun,2024,Vendor_1,Marketing,Digital advertising campaign,"148,608.36",>101k
PO-200880,29/6/2024,29,Jun,2024,Vendor_3,Travel,Flight bookings,"32,632.08",21k-50k
PO-200136,30/6/2024,30,Jun,2024,Vendor_9,Travel,Business travel expenses,"9,771.47",6k-20k
PO-200314,1/7/2024,1,Jul,2024,Vendor_6,Marketing,Social media marketing,"8,962.89",6k-20k
PO-200527,1/7/2024,1,Jul,2024,Vendor_10,Travel,Hotel accommodation,"11,638.22",6k-20k
PO-200782,1/7/2024,1,Jul,2024,Vendor_9,Travel,Hotel accommodation,"3,878.43",2k-5k
PO-200313,6/7/2024,6,Jul,2024,Vendor_1,Marketing,Market research services,"96,801.41",51k-100k
PO-200719,6/7/2024,6,Jul,2024,Vendor_7,Travel,Hotel accommodation,"9,889.85",6k-20k
PO-200776,6/7/2024,6,Jul,2024,Vendor_12,Entertainment,Conference entertainment services,"9,070.86",6k-20k
PO-200140,8/7/2024,8,Jul,2024,Vendor_10,Travel,Business travel expenses,"7,833.69",6k-20k
PO-200694,8/7/2024,8,Jul,2024,Vendor_7,Travel,Hotel accommodation,"10,541.36",6k-20k
PO-200867,11/7/2024,11,Jul,2024,Vendor_12,Entertainment,Client entertainment event,"2,389.30",2k-5k
PO-200987,11/7/2024,11,Jul,2024,Vendor_9,Travel,Hotel accommodation,"7,078.05",6k-20k
PO-200132,12/7/2024,12,Jul,2024,Vendor_3,Travel,Hotel accommodation,"55,135.36",51k-100k
PO-200764,12/7/2024,12,Jul,2024,Vendor_8,Travel,Flight bookings,"5,587.16",6k-20k
PO-200981,13/7/2024,13,Jul,2024,Vendor_5,Marketing,Brand promotion services,"54,216.08",51k-100k
PO-200608,14/7/2024,14,Jul,2024,Vendor_8,Travel,Business travel expenses,"3,392.45",2k-5k
PO-200542,18/7/2024,18,Jul,2024,Vendor_2,Marketing,Social media marketing,"168,836.44",>101k
PO-200281,19/7/2024,19,Jul,2024,Vendor_7,Travel,Flight bookings,"6,025.50",6k-20k
PO-200769,19/7/2024,19,Jul,2024,Vendor_1,Travel,Flight bookings,"191,508.26",>101k
PO-200015,20/7/2024,20,Jul,2024,Vendor_15,Entertainment,Corporate hospitality,"6,497.54",6k-20k
PO-200890,20/7/2024,20,Jul,2024,Vendor_5,Marketing,Social media marketing,"39,502.36",21k-50k
PO-200143,21/7/2024,21,Jul,2024,Vendor_1,Marketing,Market research services,"144,432.18",>101k
PO-200012,24/7/2024,24,Jul,2024,Vendor_8,Travel,Corporate travel package,"2,343.89",2k-5k
PO-200028,25/7/2024,25,Jul,2024,Vendor_3,Entertainment,Team engagement event,"16,819.51",6k-20k
PO-200405,25/7/2024,25,Jul,2024,Vendor_5,Marketing,Digital advertising campaign,"18,248.93",6k-20k
PO-200662,25/7/2024,25,Jul,2024,Vendor_3,Travel,Business travel expenses,"17,659.23",6k-20k
PO-200958,25/7/2024,25,Jul,2024,Vendor_5,Marketing,Social media marketing,"37,099.31",21k-50k
PO-200575,27/7/2024,27,Jul,2024,Vendor_12,Entertainment,Corporate hospitality,"2,353.11",2k-5k
PO-200841,28/7/2024,28,Jul,2024,Vendor_8,Travel,Hotel accommodation,"10,069.65",6k-20k
PO-200941,30/7/2024,30,Jul,2024,Vendor_3,Travel,Flight bookings,"45,180.40",21k-50k
PO-200386,1/8/2024,1,Aug,2024,Vendor_14,Entertainment,Client entertainment event,"2,396.19",2k-5k
PO-200689,1/8/2024,1,Aug,2024,Vendor_6,Marketing,Social media marketing,"6,069.72",6k-20k
PO-200001,2/8/2024,2,Aug,2024,Vendor_8,Travel,Business travel expenses,"6,458.33",6k-20k
PO-200336,3/8/2024,3,Aug,2024,Vendor_7,Travel,Hotel accommodation,"8,960.21",6k-20k
PO-200347,3/8/2024,3,Aug,2024,Vendor_7,Travel,Flight bookings,"9,339.10",6k-20k
PO-200505,3/8/2024,3,Aug,2024,Vendor_2,Entertainment,Client entertainment event,"120,899.73",>101k
PO-200754,3/8/2024,3,Aug,2024,Vendor_6,Marketing,Social media marketing,"4,032.23",2k-5k
PO-200298,4/8/2024,4,Aug,2024,Vendor_1,Marketing,Market research services,"176,510.20",>101k
PO-200551,4/8/2024,4,Aug,2024,Vendor_3,Entertainment,Corporate hospitality,"18,116.44",6k-20k
PO-200027,5/8/2024,5,Aug,2024,Vendor_2,Entertainment,Team engagement event,"181,725.61",>101k
PO-200332,5/8/2024,5,Aug,2024,Vendor_7,Travel,Hotel accommodation,"2,469.45",2k-5k
PO-200828,5/8/2024,5,Aug,2024,Vendor_6,Marketing,Market research services,"6,738.10",6k-20k
